metier;personnalite
Chanteur de concert;artistique
Chanteur populaire;artistique
Choriste;artistique
Musicologue;artistique
Professeur d'art dramatique (collège ou université);artistique
Professeur d'arts plastiques;artistique
Professeur de chant;artistique
Professeur de danse;artistique
Directeur de la publicité;artistique
Interprète;artistique
Rédacteur publicitaire;artistique
Maquilleur-coiffeur;artistique
Acrobate;artistique
Assistant à la réalisation;artistique
Cadreur;artistique
Clown;artistique
Contorsionniste;artistique
Directeur artistique;artistique
Directeur de la distribution;artistique
Directeur de la photographie;artistique
Directeur de production multimédia;artistique
Echassier;artistique
Equilibriste;artistique
Jongleur;artistique
Magicien;artistique
Technicien de production (télévision);artistique
Trapéziste;artistique
Concepteur-designer d'expositions;artistique
Decorateur-étalagiste;artistique
Metteur en scène de théâtre;artistique
Producteur audio en multimédia;artistique
Réalisateur (cinéma, radio, télévision);artistique
Technicien en design de présentation;artistique
Chorégraphe;artistique
Mannequin;artistique
Marionnettiste;artistique
Chargé de programmation (radio, télévision);artistique
Directeur de production (cinéma, télévision);artistique
Directeur technique de productions artistiques;artistique
Discothécaire (radiotélédiffusion);artistique
Producteur (cinéma, radio, télévision, théâtre);artistique
Régisseur;artistique
Commis à la comptabilité;conventionnel/le
Commis à la facturation;conventionnel/le
Commis à la fiscalité;conventionnel/le
Commis au budget;conventionnel/le
Commis au service de la paie;conventionnel/le
Commis aux comptes à recevoir;conventionnel/le
Commis de bureau;conventionnel/le
Commis de soutien à la gestion des ressources;conventionnel/le
Technicien en arpentage;conventionnel/le
Agent de centre d’appels;conventionnel/le
Archiviste médical;conventionnel/le
Caissier d’institution financière;conventionnel/le
Commis au classement;conventionnel/le
Préposé aux dossiers médicaux;conventionnel/le
Commis à la saisie de données;conventionnel/le
Commis de supermarché;conventionnel/le
Opérateur à la saisie de données;conventionnel/le
Préposé à l’emballage;conventionnel/le
Agent-conseil de crédit;conventionnel/le
Commis d’assurances;conventionnel/le
Coordonnateur du transport de voyageurs par autobus;conventionnel/le
Répartiteur en transport routier de personnes et marchandises;conventionnel/le
Vérificateur des impôts;conventionnel/le
Analyste en gestion d’entreprises;conventionnel/le
Commis aux approvisionnements;conventionnel/le
Commis de bourse;conventionnel/le
Commis de services financiers;conventionnel/le
Conseiller en organisation du travail;conventionnel/le
Correcteur d’épreuves;conventionnel/le
Technicien en collecte d’information;conventionnel/le
Technicien en enquête administrative;conventionnel/le
Technicien en statistiques;conventionnel/le
Caissier d’établissement commercial;conventionnel/le
Caissier de billetterie;conventionnel/le
Caissier de cafétéria;conventionnel/le
Caissier de station libre-service;conventionnel/le
Teneur de livres;conventionnel/le
Commis de bibliothèques;conventionnel/le
Secrétaire;conventionnel/le
Secrétaire juridique;conventionnel/le
Secrétaire médical;conventionnel/le
Sténographe juridique;conventionnel/le
Technicien en bureautique;conventionnel/le
Adjoint administratif;conventionnel/le
Commis au service du personnel;conventionnel/le
Commis aux plaintes;conventionnel/le
Concierge d’hôtel;conventionnel/le
Conseiller en voyages;conventionnel/le
Forfaitiste;conventionnel/le
Préposé à l’admission dans un hôpital;conventionnel/le
Préposé au service à la clientèle;conventionnel/le
Préposé aux renseignements;conventionnel/le
Préposé aux renseignements touristiques;conventionnel/le
Réceptionniste d’hôtel;conventionnel/le
Réceptionniste-téléphoniste;conventionnel/le
Secrétaire de direction;conventionnel/le
Téléphoniste (télécommunications);conventionnel/le
Commis des postes;conventionnel/le
Analyste financier;conventionnel/le
Conseiller en valeurs mobilières;conventionnel/le
Coordonnateur de la production;conventionnel/le
Chef pâtissier;conventionnel/le
Commis d’institution financière;conventionnel/le
Comptable;conventionnel/le
Fiscaliste;conventionnel/le
Entrepreneur en aménagement paysager;Entrepreneur/se
Entrepreneur en travaux publics;Entrepreneur/se
Entraîneur de chevaux;Entrepreneur/se
Agent de police de port;Entrepreneur/se
Enquêteur;Entrepreneur/se
Officier d’artillerie ou de blindés;Entrepreneur/se
Officier d’infanterie;Entrepreneur/se
Officier de la police militaire;Entrepreneur/se
Officier de la logistique;Entrepreneur/se
Officier de sélection du personnel;Entrepreneur/se
Officier du génie de l’air;Entrepreneur/se
Officier en génie électrique et mécanique;Entrepreneur/se
Policier;Entrepreneur/se
Policier communautaire;Entrepreneur/se
Policier militaire;Entrepreneur/se
Chef accessoiriste;Entrepreneur/se
Chef de gare;Entrepreneur/se
Contremaître d’ébénistes et de menuisiers en meubles;Entrepreneur/se
Contremaître de mécaniciens d’automobiles;Entrepreneur/se
Contremaître installateur en équipements pétroliers;Entrepreneur/se
Contrôleur routier;Entrepreneur/se
Entrepreneur en pavage;Entrepreneur/se
Entrepreneur en transport;Entrepreneur/se
Garagiste;Entrepreneur/se
Inspecteur de la circulation par autobus;Entrepreneur/se
Technicien en diététique;Entrepreneur/se
Technicien en nutrition clinique;Entrepreneur/se
Agronome;Entrepreneur/se
Agronome en production animale ou végétale;Entrepreneur/se
Gestionnaire en sécurité incendie;Entrepreneur/se
Conseiller en consommation d’énergie;Entrepreneur/se
Expert-conseil en informatique;Entrepreneur/se
Représentant aux ventes d’équipements agricoles;Entrepreneur/se
Représentant pharmaceutique;Entrepreneur/se
Représentant technique;Entrepreneur/se
Vendeur-technicien d’équipement lourd;Entrepreneur/se
Vendeur-technicien de matériel électronique;Entrepreneur/se
Inspecteur municipal;Entrepreneur/se
Surveillant d’établissement de jeu;Entrepreneur/se
Animateur (radio, télévision);Entrepreneur/se
Annonceur réalisateur du service international;Entrepreneur/se
Commentateur sportif;Entrepreneur/se
Préposé aux relations avec l’auditoire;Entrepreneur/se
Avocat;Entrepreneur/se
Avocat de la couronne;Entrepreneur/se
Conseiller juridique;Entrepreneur/se
Juge;Entrepreneur/se
Légiste;Entrepreneur/se
Notaire;Entrepreneur/se
Agent de location de véhicules;Entrepreneur/se
Aide-commis de magasin;Entrepreneur/se
Chauffeur de cantine mobile;Entrepreneur/se
Commis de club vidéo;Entrepreneur/se
Commis de dépanneur;Entrepreneur/se
Commis-vendeur;Entrepreneur/se
Commis-vendeur de fruits et légumes;Entrepreneur/se
Commis-vendeur d’animalerie;Entrepreneur/se
Commis-vendeur d’articles de sports;Entrepreneur/se
Commis-vendeur de matériel photographique;Entrepreneur/se
Commis-vendeur de poissons et fruits de mer;Entrepreneur/se
Commis-vendeur de quincaillerie;Entrepreneur/se
Commis-vendeur de vêtements;Entrepreneur/se
Conseiller à la vente de véhicules automobile;Entrepreneur/se
Conseiller en produits de beauté;Entrepreneur/se
Directeur d’institution financière;Entrepreneur/se
Infirmier-chef;Entrepreneur/se
Inspecteur en protection animale;Entrepreneur/se
Livreur;Entrepreneur/se
Préposé à la location d’outils;Entrepreneur/se
Préposé à la location de matériel (sport);Entrepreneur/se
Vendeur de services automobiles;Entrepreneur/se
Administrateur de bases de données;Entrepreneur/se
Administrateur de systèmes informatiques;Entrepreneur/se
Agent commercial;Entrepreneur/se
Agent d’assurances;Entrepreneur/se
Agent de dotation;Entrepreneur/se
Agent des ressources humaines;Entrepreneur/se
Analyste en informatique;Entrepreneur/se
Analyste en informatique de gestion;Entrepreneur/se
Antiquaire;Entrepreneur/se
Cambiste;Entrepreneur/se
Chargé de projet multimédia;Entrepreneur/se
Concepteur de logiciels;Entrepreneur/se
Concepteur-idéateur de jeux électroniques;Entrepreneur/se
Concepteur-idéateur de produits multimédias;Entrepreneur/se
Concessionnaire d’automobiles;Entrepreneur/se
Conseiller en communication électronique;Entrepreneur/se
Conseiller municipal;Entrepreneur/se
Courtier d’assurances;Entrepreneur/se
Directeur d’agence de voyages;Entrepreneur/se
Directeur d’établissements touristiques;Entrepreneur/se
Directeur d’une agence de guides;Entrepreneur/se
Gérant d’entrepôt;Entrepreneur/se
Gérant de boutique de vêtements;Entrepreneur/se
Gérant de commerce de détail;Entrepreneur/se
Importateur-exportateur;Entrepreneur/se
Imprésario;Entrepreneur/se
Libraire;Entrepreneur/se
Maire;Entrepreneur/se
Ministre;Entrepreneur/se
Négociateur de bourse;Entrepreneur/se
Premier ministre;Entrepreneur/se
Représentant aux ventes de transport routier;Entrepreneur/se
Représentant commercial;Entrepreneur/se
Vendeur de publicité pour la radio ou la télévision;Entrepreneur/se
Vendeur-technicien de matériaux de construction;Entrepreneur/se
Webmestre;Entrepreneur/se
Agent d’information;Entrepreneur/se
Attaché de presse;Entrepreneur/se
Chef du service de promotion des ventes;Entrepreneur/se
Conseiller en loisirs;Entrepreneur/se
Guide accompagnateur;Entrepreneur/se
Guide de plein air;Entrepreneur/se
Guide-interprète du patrimoine;Entrepreneur/se
Guide touristique;Entrepreneur/se
Officier des affaires publiques;Entrepreneur/se
Publicitaire;Entrepreneur/se
Récréologue;Entrepreneur/se
Spécialiste des relations publiques;Entrepreneur/se
Administrateur;Entrepreneur/se
Administrateur d’organisme public;Entrepreneur/se
Agent d’administration;Entrepreneur/se
Agent d’assurance-emploi;Entrepreneur/se
Agent de bord;Entrepreneur/se
Agent de développement économique;Entrepreneur/se
Agent de promotion touristique;Entrepreneur/se
Analyste de marchés;Entrepreneur/se
Arbitre;Entrepreneur/se
Armateur;Entrepreneur/se
Aubergiste;Entrepreneur/se
Chef cuisinier;Entrepreneur/se
Chef de cabinet;Entrepreneur/se
Chef réceptionniste d’hôtel;Entrepreneur/se
Comptable adjoint;Entrepreneur/se
Consultant en tourisme;Entrepreneur/se
Coordonnateur de congrès et de réunions (hôtels et centres de congrès);Entrepreneur/se
Coordonnateur des services de tourisme;Entrepreneur/se
Directeur administratif;Entrepreneur/se
Directeur d’association touristique;Entrepreneur/se
Directeur d’équipe de sport professionnel;Entrepreneur/se
Directeur d’établissement de loisirs;Entrepreneur/se
Directeur d’usine de production de vêtements;Entrepreneur/se
Directeur de banquets;Entrepreneur/se
Directeur de bar;Entrepreneur/se
Directeur de congrès et de réunion;Entrepreneur/se
Directeur de département de soins hospitaliers;Entrepreneur/se
Directeur de l’exploitation des transports routiers;Entrepreneur/se
Directeur de la réception;Entrepreneur/se
Directeur de la restauration;Entrepreneur/se
Directeur de production industrielle;Entrepreneur/se
Directeur de programmes de loisirs;Entrepreneur/se
Directeur des activités de croisière;Entrepreneur/se
Directeur des communications (politique);Entrepreneur/se
Directeur des jeux (casino);Entrepreneur/se
Directeur des ressources humaines;Entrepreneur/se
Directeur des soins infirmiers;Entrepreneur/se
Directeur des ventes;Entrepreneur/se
Directeur du développement touristique;Entrepreneur/se
Directeur du marketing;Entrepreneur/se
Directeur du service à la clientèle;Entrepreneur/se
Directeur du service de diététique;Entrepreneur/se
Directeur du service des loisirs;Entrepreneur/se
Directeur général d’un centre de loisirs de plein air;Entrepreneur/se
Directeur général d’un établissement hôtelier;Entrepreneur/se
Directeur général de l’enseignement;Entrepreneur/se
Directeur-gérant de restaurant;Entrepreneur/se
Dirigeant d’imprimerie;Entrepreneur/se
Éditeur;Entrepreneur/se
Entrepreneur en construction;Entrepreneur/se
Examinateur des réclamations d’assurances;Entrepreneur/se
Expert-conseil en commercialisation;Entrepreneur/se
Exploitant de terrain de camping;Entrepreneur/se
Gérant d’un centre de loisirs;Entrepreneur/se
Gestionnaire d’entreprise touristique;Entrepreneur/se
Huissier;Entrepreneur/se
Maître de poste;Entrepreneur/se
Œnologue;Entrepreneur/se
Officier d’administration des services de santé;Entrepreneur/se
Organisateur de congrès et d’événements spéciaux;Entrepreneur/se
Pourvoyeur de chasse et de pêche;Entrepreneur/se
Protecteur du citoyen;Entrepreneur/se
Sous-ministre;Entrepreneur/se
Superviseur d’un centre d’information touristique;Entrepreneur/se
Superviseur d’un service de traiteur;Entrepreneur/se
Superviseur de l’accueil et de l’animation;Entrepreneur/se
Superviseur des services alimentaires;Entrepreneur/se
Surintendant de parc;Entrepreneur/se
Surveillant de personnel de bureau;Entrepreneur/se
Technicien administratif en gestion informatisée;Entrepreneur/se
Technicien en administration;Entrepreneur/se
Technicien en administration du commerce  international;Entrepreneur/se
Technicien en marketing;Entrepreneur/se
Technicien en transport;Entrepreneur/se
Téléphoniste en télémarketing (sollicitation téléphonique);Entrepreneur/se
Vendeur à domicile;Entrepreneur/se
Biophysicien;Investigateur/trice
Démographe;Investigateur/trice
Ingénieur physicien;Investigateur/trice
Mathématicien de recherche;Investigateur/trice
Météorologue;Investigateur/trice
Physicien;Investigateur/trice
Physicien nucléaire;Investigateur/trice
Statisticien;Investigateur/trice
Technicien en météorologie;Investigateur/trice
Technologiste en cytologie;Investigateur/trice
Technologue en microbiologie;Investigateur/trice
Agronome;Investigateur/trice
Anatomiste;Investigateur/trice
Archéologue;Investigateur/trice
Bactériologiste;Investigateur/trice
Biologiste;Investigateur/trice
Biologiste de la vie aquatique;Investigateur/trice
Biologiste médical;Investigateur/trice
Botaniste;Investigateur/trice
Écologiste;Investigateur/trice
Entomologiste (étude des insectes);Investigateur/trice
Épidémiologiste;Investigateur/trice
Généticien;Investigateur/trice
Géographe;Investigateur/trice
Immunologue;Investigateur/trice
Inhalothérapeute;Investigateur/trice
Massothérapeute;Investigateur/trice
Microbiologiste;Investigateur/trice
Mycologue (étude des champignons);Investigateur/trice
Ornithologue;Investigateur/trice
Orthothérapeute;Investigateur/trice
Pathologiste vétérinaire;Investigateur/trice
Pharmacologue;Investigateur/trice
Physiologiste;Investigateur/trice
Phytobiologiste;Investigateur/trice
Technologue en électrophysiologie médicale;Investigateur/trice
Technologue en horticulture ornementale;Investigateur/trice
Technologue en médecine nucléaire;Investigateur/trice
Technologue en radio-oncologie;Investigateur/trice
Technologue en radiologie;Investigateur/trice
Vétérinaire;Investigateur/trice
Virologiste;Investigateur/trice
Zoologiste;Investigateur/trice
Acuponcteur;Investigateur/trice
Contrôleur en produits pharmaceutiques;Investigateur/trice
Dentiste;Investigateur/trice
Designer de l’environnement;Investigateur/trice
Hydrogéologue;Investigateur/trice
Hygiéniste industriel;Investigateur/trice
Ingénieur agricole;Investigateur/trice
Ingénieur chimiste;Investigateur/trice
Ingénieur civil;Investigateur/trice
Ingénieur de l’environnement;Investigateur/trice
Ingénieur en aérospatiale;Investigateur/trice
Ingénieur en mécanique du bâtiment;Investigateur/trice
Ingénieur en métallurgie physique;Investigateur/trice
Ingénieur géologue;Investigateur/trice
Ingénieur industriel;Investigateur/trice
Ingénieur mécanique;Investigateur/trice
Ingénieur minier;Investigateur/trice
Médecin légiste;Investigateur/trice
Médecin spécialiste en biochimie;Investigateur/trice
Médecin spécialiste en génétique;Investigateur/trice
Médecin spécialiste en microbiologie médicale;Investigateur/trice
Officier de génie militaire;Investigateur/trice
Officier en génie aérospatial;Investigateur/trice
Orthodontiste;Investigateur/trice
Pathologiste médical;Investigateur/trice
Pédodontiste;Investigateur/trice
Technicien en hygiène industrielle;Investigateur/trice
Technicien en recherche et développement;Investigateur/trice
Technologue en assainissement de l’eau;Investigateur/trice
Technologue en biochimie;Investigateur/trice
Technologue en chimie;Investigateur/trice
Technologue en contrôle de la qualité des produits alimentaires;Investigateur/trice
Technologue en génie chimique;Investigateur/trice
Technologue en procédés de fabrication alimentaire;Investigateur/trice
Urbaniste;Investigateur/trice
Classeur-mesureur;Investigateur/trice
Contrôleur de systèmes électroniques;Investigateur/trice
Dessinateur-concepteur en mécanique du bâtiment;Investigateur/trice
Directeur informatique multimédia;Investigateur/trice
Électronicien en communications navales;Investigateur/trice
Estimateur en électricité de construction;Investigateur/trice
Gestionnaires de réseaux informatiques;Investigateur/trice
Ingénieur alimentaire;Investigateur/trice
Ingénieur biomédical;Investigateur/trice
Ingénieur en informatique;Investigateur/trice
Ingénieur en intelligence artificielle;Investigateur/trice
Ingénieur en industrie agroalimentaire;Investigateur/trice
Mécanicien d’instruments de bord;Investigateur/trice
Monteur de matériel électronique aéronautique;Investigateur/trice
Officier navigateur aérien;Investigateur/trice
Officier pilote;Investigateur/trice
Opérateur d’ordinateur;Investigateur/trice
Pilote d’avion;Investigateur/trice
Pilote d’hélicoptère;Investigateur/trice
Pilote de brousse;Investigateur/trice
Programmeur analyste;Investigateur/trice
Programmeur de machines-outils à commande numérique;Investigateur/trice
Régisseur de bâtiment;Investigateur/trice
Responsable de soutien technique en micro-informatique;Investigateur/trice
Spécialiste en sécurité de systèmes informatiques;Investigateur/trice
Technicien de laboratoire en biologie;Investigateur/trice
Technicien de laboratoire médical;Investigateur/trice
Technicien de laboratoire vétérinaire;Investigateur/trice
Technicien en biologie;Investigateur/trice
Technicien en écologie appliquée;Investigateur/trice
Technicien en électronique biomédicale;Investigateur/trice
Technicien en électronique industrielle;Investigateur/trice
Technicien en génie biomédical;Investigateur/trice
Technicien en génie mécanique;Investigateur/trice
Technicien en informatique industrielle;Investigateur/trice
Technicien en production manufacturière;Investigateur/trice
Technicien en radiologie;Investigateur/trice
Technicien en santé animale;Investigateur/trice
Technicien en systèmes aéronautiques;Investigateur/trice
Technicien en télécommunication;Investigateur/trice
Technicien en zoologie;Investigateur/trice
Technicien métallurgiste;Investigateur/trice
Technicien spécialiste en génie naval;Investigateur/trice
Technologiste-conseil en gestion agricole;Investigateur/trice
Technologue agricole;Investigateur/trice
Technologiste médical;Investigateur/trice
Technologue en centrale nucléaire;Investigateur/trice
Technologue de laboratoire de physique;Investigateur/trice
Technologue des textiles;Investigateur/trice
Technologue en aéronautique;Investigateur/trice
Technologue en avionique;Investigateur/trice
Technologue en bactériologie;Investigateur/trice
Technologue en botanique;Investigateur/trice
Technologue en entretien d’aéronefs;Investigateur/trice
Technologue en environnement agricole;Investigateur/trice
Technologue en estimation des coûts de construction;Investigateur/trice
Technologue en exploitation minière;Investigateur/trice
Technologue en génie électrique;Investigateur/trice
Technologue en génie industriel;Investigateur/trice
Technologue en génie mécanique;Investigateur/trice
Technologue en génie nucléaire;Investigateur/trice
Technologue en géologie;Investigateur/trice
Technologue en géophysique;Investigateur/trice
Technologue en hydrologie;Investigateur/trice
Technologue en informatique;Investigateur/trice
Technologue en mécanique du bâtiment;Investigateur/trice
Technologue en minéralurgie;Investigateur/trice
Technologue en photonique;Investigateur/trice
Technologue en production animale;Investigateur/trice
Technologue en productions végétales;Investigateur/trice
Technologue en prospection minière;Investigateur/trice
Technologue en robotique;Investigateur/trice
Technologue en systèmes ordinés;Investigateur/trice
Technologue en transformation des matériaux composites;Investigateur/trice
Technologue en transformation des matières plastiques;Investigateur/trice
Anthropologue;Investigateur/trice
Astronome;Investigateur/trice
Biochimiste;Investigateur/trice
Chimiste;Investigateur/trice
Ethnologue;Investigateur/trice
Géochimiste;Investigateur/trice
Géologue;Investigateur/trice
Géophysicien;Investigateur/trice
Hydrographe;Investigateur/trice
Hydrologue;Investigateur/trice
Hygiéniste dentaire;Investigateur/trice
Minéralogiste;Investigateur/trice
Océanographe;Investigateur/trice
Paléontologue;Investigateur/trice
Restaurateur d’objets anciens;Investigateur/trice
Scientifique en produits alimentaires;Investigateur/trice
Sismologue;Investigateur/trice
Taxidermiste;Investigateur/trice
Technicien en muséologie;Investigateur/trice
Agroéconomiste;Investigateur/trice
Conseiller en importation et exportation;Investigateur/trice
Économiste;Investigateur/trice
Économiste en commerce international;Investigateur/trice
Économiste en développement international;Investigateur/trice
Économiste financier;Investigateur/trice
Économiste industriel;Investigateur/trice
Linguiste;Investigateur/trice
Psychométricien;Investigateur/trice
Traducteur;Investigateur/trice
Technicien juridique;Investigateur/trice
Chiropraticien;Investigateur/trice
Conseiller en conditionnement physique;Investigateur/trice
