metier;personnalite
Chanteur de concert;artistique
Chanteur populaire;artistique
Choriste;artistique
Musicologue;artistique
Professeur d'art dramatique (collège ou université);artistique
Professeur d'arts plastiques;artistique
Professeur de chant;artistique
Professeur de danse;artistique
Directeur de la publicité;artistique
Interprète;artistique
Rédacteur publicitaire;artistique
Maquilleur-coiffeur;artistique
Acrobate;artistique
Assistant à la réalisation;artistique
Cadreur;artistique
Clown;artistique
Contorsionniste;artistique
Directeur artistique;artistique
Directeur de la distribution;artistique
Directeur de la photographie;artistique
Directeur de production multimédia;artistique
Echassier;artistique
Equilibriste;artistique
Jongleur;artistique
Magicien;artistique
Technicien de production (télévision);artistique
Trapéziste;artistique
Concepteur-designer d'expositions;artistique
Decorateur-étalagiste;artistique
Metteur en scène de théâtre;artistique
Producteur audio en multimédia;artistique
Réalisateur (cinéma, radio, télévision);artistique
Technicien en design de présentation;artistique
Chorégraphe;artistique
Mannequin;artistique
Marionnettiste;artistique
Chargé de programmation (radio, télévision);artistique
Directeur de production (cinéma, télévision);artistique
Directeur technique de productions artistiques;artistique
Discothécaire (radiotélédiffusion);artistique
Producteur (cinéma, radio, télévision, théâtre);artistique
Régisseur;artistique
