metier;personnalite
Entrepreneur en aménagement paysager;entreprenant
Entrepreneur en travaux publics;entreprenant
Entraîneur de chevaux;entreprenant
Agent de police de port;entreprenant
Enquêteur;entreprenant
Officier d’artillerie ou de blindés;entreprenant
Officier d’infanterie;entreprenant
Officier de la police militaire;entreprenant
Officier de la logistique;entreprenant
Officier de sélection du personnel;entreprenant
Officier du génie de l’air;entreprenant
Officier en génie électrique et mécanique;entreprenant
Policier;entreprenant
Policier communautaire;entreprenant
Policier militaire;entreprenant
Chef accessoiriste;entreprenant
Chef de gare;entreprenant
Contremaître d’ébénistes et de menuisiers en meubles;entreprenant
Contremaître de mécaniciens d’automobiles;entreprenant
Contremaître installateur en équipements pétroliers;entreprenant
Contrôleur routier;entreprenant
Entrepreneur en pavage;entreprenant
Entrepreneur en transport;entreprenant
Garagiste;entreprenant
Inspecteur de la circulation par autobus;entreprenant
Technicien en diététique;entreprenant
Technicien en nutrition clinique;entreprenant
Agronome;entreprenant
Agronome en production animale ou végétale;entreprenant
Gestionnaire en sécurité incendie;entreprenant
Conseiller en consommation d’énergie;entreprenant
Expert-conseil en informatique;entreprenant
Représentant aux ventes d’équipements agricoles;entreprenant
Représentant pharmaceutique;entreprenant
Représentant technique;entreprenant
Vendeur-technicien d’équipement lourd;entreprenant
Vendeur-technicien de matériel électronique;entreprenant
Inspecteur municipal;entreprenant
Surveillant d’établissement de jeu;entreprenant
Animateur (radio, télévision);entreprenant
Annonceur réalisateur du service international;entreprenant
Commentateur sportif;entreprenant
Préposé aux relations avec l’auditoire;entreprenant
Avocat;entreprenant
Avocat de la couronne;entreprenant
Conseiller juridique;entreprenant
Juge;entreprenant
Légiste;entreprenant
Notaire;entreprenant
Agent de location de véhicules;entreprenant
Aide-commis de magasin;entreprenant
Chauffeur de cantine mobile;entreprenant
Commis de club vidéo;entreprenant
Commis de dépanneur;entreprenant
Commis-vendeur;entreprenant
Commis-vendeur de fruits et légumes;entreprenant
Commis-vendeur d’animalerie;entreprenant
Commis-vendeur d’articles de sports;entreprenant
Commis-vendeur de matériel photographique;entreprenant
Commis-vendeur de poissons et fruits de mer;entreprenant
Commis-vendeur de quincaillerie;entreprenant
Commis-vendeur de vêtements;entreprenant
Conseiller à la vente de véhicules automobile;entreprenant
Conseiller en produits de beauté;entreprenant
Directeur d’institution financière;entreprenant
Infirmier-chef;entreprenant
Inspecteur en protection animale;entreprenant
Livreur;entreprenant
Préposé à la location d’outils;entreprenant
Préposé à la location de matériel (sport);entreprenant
Vendeur de services automobiles;entreprenant
Administrateur de bases de données;entreprenant
Administrateur de systèmes informatiques;entreprenant
Agent commercial;entreprenant
Agent d’assurances;entreprenant
Agent de dotation;entreprenant
Agent des ressources humaines;entreprenant
Analyste en informatique;entreprenant
Analyste en informatique de gestion;entreprenant
Antiquaire;entreprenant
Cambiste;entreprenant
Chargé de projet multimédia;entreprenant
Concepteur de logiciels;entreprenant
Concepteur-idéateur de jeux électroniques;entreprenant
Concepteur-idéateur de produits multimédias;entreprenant
Concessionnaire d’automobiles;entreprenant
Conseiller en communication électronique;entreprenant
Conseiller municipal;entreprenant
Courtier d’assurances;entreprenant
Directeur d’agence de voyages;entreprenant
Directeur d’établissements touristiques;entreprenant
Directeur d’une agence de guides;entreprenant
Gérant d’entrepôt;entreprenant
Gérant de boutique de vêtements;entreprenant
Gérant de commerce de détail;entreprenant
Importateur-exportateur;entreprenant
Imprésario;entreprenant
Libraire;entreprenant
Maire;entreprenant
Ministre;entreprenant
Négociateur de bourse;entreprenant
Premier ministre;entreprenant
Représentant aux ventes de transport routier;entreprenant
Représentant commercial;entreprenant
Vendeur de publicité pour la radio ou la télévision;entreprenant
Vendeur-technicien de matériaux de construction;entreprenant
Webmestre;entreprenant
Agent d’information;entreprenant
Attaché de presse;entreprenant
Chef du service de promotion des ventes;entreprenant
Conseiller en loisirs;entreprenant
Guide accompagnateur;entreprenant
Guide de plein air;entreprenant
Guide-interprète du patrimoine;entreprenant
Guide touristique;entreprenant
Officier des affaires publiques;entreprenant
Publicitaire;entreprenant
Récréologue;entreprenant
Spécialiste des relations publiques;entreprenant
Administrateur;entreprenant
Administrateur d’organisme public;entreprenant
Agent d’administration;entreprenant
Agent d’assurance-emploi;entreprenant
Agent de bord;entreprenant
Agent de développement économique;entreprenant
Agent de promotion touristique;entreprenant
Analyste de marchés;entreprenant
Arbitre;entreprenant
Armateur;entreprenant
Aubergiste;entreprenant
Chef cuisinier;entreprenant
Chef de cabinet;entreprenant
Chef réceptionniste d’hôtel;entreprenant
Comptable adjoint;entreprenant
Consultant en tourisme;entreprenant
Coordonnateur de congrès et de réunions (hôtels et centres de congrès);entreprenant
Coordonnateur des services de tourisme;entreprenant
Directeur administratif;entreprenant
Directeur d’association touristique;entreprenant
Directeur d’équipe de sport professionnel;entreprenant
Directeur d’établissement de loisirs;entreprenant
Directeur d’usine de production de vêtements;entreprenant
Directeur de banquets;entreprenant
Directeur de bar;entreprenant
Directeur de congrès et de réunion;entreprenant
Directeur de département de soins hospitaliers;entreprenant
Directeur de l’exploitation des transports routiers;entreprenant
Directeur de la réception;entreprenant
Directeur de la restauration;entreprenant
Directeur de production industrielle;entreprenant
Directeur de programmes de loisirs;entreprenant
Directeur des activités de croisière;entreprenant
Directeur des communications (politique);entreprenant
Directeur des jeux (casino);entreprenant
Directeur des ressources humaines;entreprenant
Directeur des soins infirmiers;entreprenant
Directeur des ventes;entreprenant
Directeur du développement touristique;entreprenant
Directeur du marketing;entreprenant
Directeur du service à la clientèle;entreprenant
Directeur du service de diététique;entreprenant
Directeur du service des loisirs;entreprenant
Directeur général d’un centre de loisirs de plein air;entreprenant
Directeur général d’un établissement hôtelier;entreprenant
Directeur général de l’enseignement;entreprenant
Directeur-gérant de restaurant;entreprenant
Dirigeant d’imprimerie;entreprenant
Éditeur;entreprenant
Entrepreneur en construction;entreprenant
Examinateur des réclamations d’assurances;entreprenant
Expert-conseil en commercialisation;entreprenant
Exploitant de terrain de camping;entreprenant
Gérant d’un centre de loisirs;entreprenant
Gestionnaire d’entreprise touristique;entreprenant
Huissier;entreprenant
Maître de poste;entreprenant
Œnologue;entreprenant
Officier d’administration des services de santé;entreprenant
Organisateur de congrès et d’événements spéciaux;entreprenant
Pourvoyeur de chasse et de pêche;entreprenant
Protecteur du citoyen;entreprenant
Sous-ministre;entreprenant
Superviseur d’un centre d’information touristique;entreprenant
Superviseur d’un service de traiteur;entreprenant
Superviseur de l’accueil et de l’animation;entreprenant
Superviseur des services alimentaires;entreprenant
Surintendant de parc;entreprenant
Surveillant de personnel de bureau;entreprenant
Technicien administratif en gestion informatisée;entreprenant
Technicien en administration;entreprenant
Technicien en administration du commerce  international;entreprenant
Technicien en marketing;entreprenant
Technicien en transport;entreprenant
Téléphoniste en télémarketing (sollicitation téléphonique);entreprenant
Vendeur à domicile;entreprenant
