metier;personnalite
Chanteur de concert;social
Chanteur populaire;social
Choriste;social
Musicologue;social
Professeur d’art dramatique (collège ou université);social
Professeur d’arts plastiques;social
Professeur de chant;social
Professeur de danse;social
Directeur de la publicité;social
Interprète;social
Rédacteur publicitaire;social
Maquilleur-coiffeur;social
Acrobate;social
Assistant à la réalisation;social
Cadreur;social
Clown;social
Contorsionniste;social
Directeur artistique;social
Directeur de la distribution;social
Directeur de la photographie;social
Directeur de production multimédia;social
Échassier;social
Équilibriste;social
Jongleur;social
Magicien;social
Technicien de production (télévision);social
Trapéziste;social
Concepteur-designer d’expositions;social
Décorateur-étalagiste;social
Metteur en scène de théâtre;social
Producteur audio en multimédia;social
Réalisateur (cinéma, radio, télévision);social
Technicien en design de présentation;social
Chorégraphe;social
Mannequin;social
Marionnettiste;social
Chargé de programmation (radio, télévision);social
Directeur de production (cinéma, télévision);social
Directeur technique de productions artistiques;social
Discothécaire (radiotélédiffusion);social
Producteur (cinéma, radio, télévision, théâtre);social
Régisseur;social
Adjoint médical;social
Formateur en entreprise;social
Formateur en tourisme;social
Naturopathe;social
Physiothérapeute;social
Podiatre;social
Professeur d’enseignement général au cégep;social
Professeur d’enseignement professionnel au secondaire;social
Professeur de langues modernes;social
Professeur en formation technique au collégial;social
Technicien ambulancier;social
Thérapeute en réadaptation physique;social
Thérapeute sportif;social
Andragogue;social
Bibliothécaire;social
Documentaliste de bibliothèque;social
Éducateur physique en réadaptation;social
Enseignant aux adultes;social
Infirmier;social
Infirmier de service téléphonique;social
Infirmer en chirurgie;social
Infirmier en santé au travail;social
Infirmier psychiatrique;social
Infirmier scolaire;social
Médiateur familial;social
Officier des soins infirmiers;social
Professeur au secondaire;social
Professeur d’éducation physique;social
Travailleur social;social
Travailleur social en service collectif;social
Moniteur de conduite automobile;social
Moniteur de conduite de motocyclette;social
Agent de libération conditionnelle;social
Agent de probation;social
Coordonnateur de loisirs municipaux;social
Directeur d’école;social
Directeur de camps de vacances;social
Intervieweur;social
Technicien de recherche, enquête et sondage;social
Ludothérapeute;social
Musicothérapeute;social
Zoothérapeute;social
Aide-éducateur en garderie;social
Aide familial;social
Auxiliaire familial et social;social
Coureur automobile;social
Entraîneur d’athlètes;social
Entraîneur d’équipes sportives;social
Entraîneur d’équipes de sport amateur;social
Ergothérapeute;social
Gardien d’enfants;social
Gouvernant;social
Patineur artistique;social
Sportif professionnel;social
Préposé aux bénéficiaires;social
Assistant dentaire;social
Éducateur en garderie;social
Enseignant au préscolaire;social
Enseignant au primaire;social
Infirmier auxiliaire;social
Instructeur-pilote d’avion;social
Orthopédagogue;social
Professeur pour personnes déficientes intellectuelles;social
Professeur pour personnes handicapées de la vue;social
Technicien en éducation spécialisée;social
Animateur de pastorale;social
Animateur de vie spirituelle et d’engagement communautaire;social
Aide-coiffeur;social
Coiffeur;social
Coiffeur styliste;social
Électrolyste;social
Esthéticien;social
Manucure;social
Poseur d’ongles et de cils;social
Capitaine de banquet;social
Expert en sinistres (assurances);social
Instructeur d’art martial;social
Instructeur de conditionnement physique aérobique;social
Moniteur de camp de vacances;social
Moniteur de loisirs;social
Moniteur de natation;social
Moniteur de ski;social
Patrouilleur des pentes de ski;social
Préposé au service aux chambres;social
Professeur d’équitation;social
Serveur;social
Sommelier;social
Surveillant-sauveteur de bains publics;social
Technicien en loisirs;social
Animateur de vie étudiante;social
Conseiller en consommation;social
Conseiller en réadaptation;social
Conseiller en retraite et pré-retraite;social
Conseiller en toxicomanie;social
Directeur des services aux étudiants;social
Génagogue;social
Intervenant budgétaire;social
Registraire de collège ou d’université;social
Sexologue;social
Technicien d’intervention en délinquance;social
Technicien en travail social;social
Travailleur de rue;social
Attaché politique;social
Conseiller politique;social
Agent syndical;social
Aide pédagogique individuel;social
Analyste des emplois;social
Chasseur de têtes;social
Conciliateur en relations de travail;social
Conseiller d’orientation;social
Conseiller en emploi;social
Conseiller en gestion de carrière;social
Conseiller en information scolaire et professionnelle;social
Conseiller en ressources humaines;social
Directeur d’agence de rencontres;social
Directeur de funérailles;social
Hôte;social
Maître d’hôtel;social
Médiateur;social
Répartiteur dans un service des urgences;social
Répartiteur de dépanneuses;social
Répartiteur de taxis;social
Serveur de bar;social
